file,words,chars
johnson-indirect_discourse.pdf,5964,37865
adlam-duality_of_existence.pdf,5934,36478
schwartz-transcendence_over_cultural_politics_or_why_i_disagree_with_rorty.pdf,5902,38455
jensen-what_a_theory_of_mental_health_should_be.pdf,5827,35988
isaac-socrates_and_the_public_laws_of_athens.pdf,5759,32988
hatch-aristotle_on_universal_subjects.pdf,5743,36787
semantic-problem-for-stage-theory.pdf,5596,35168
struk-the_hermeneutics_of_testimony.pdf,5578,33304
hendrickson-what_it_means_to_know.pdf,5530,33298
pereira-absolute_simplicity_in_lockes_theory_of_ideas.pdf,5441,33651
aquinas-and-gregory-the-great-on-the-puzzle-of-petitionary.pdf,5431,32204
fournier-liberty_and_debt.pdf,5389,34252
hendricks-platos_theories_of_forms.pdf,5364,31683
edwards-trauma_and_event.pdf,5344,32214
cox-the_limits_of_toleration.pdf,5298,33540
foote-necessary_truth_and_the_transcendental_interpretation.pdf,5229,31835
adrian-many_relations_and_the_problem_of_material_constitution.pdf,5221,29619
schwartz-disowning_mutual_identity.pdf,5133,31510
bentley-consciousness_as_a_hot_addition.pdf,5123,31294
bruening-divine_foreknowledge_and_changing_the_past.pdf,5057,29685
mahaffey-the_direct_argument.pdf,5045,30243
martin-bad_attitudes.pdf,5042,31856
madsen-gods_sovereignty.pdf,5036,31156
bloom-explaining_emotional_outbursts.pdf,5027,30789
tallent-sartres_radicalization_of_husserlian_phenomenology.pdf,5025,30560
hannon-ascribing_knowledge_in_context.pdf,4998,30392
jarrott-models_of_becoming.pdf,4960,28548
leavitt-the_moral_limits_of_state_action.pdf,4947,29713
choucair-objects_and_identity_in_time.pdf,4934,28926
cranney-opposites_in_plato_and_aristotle.pdf,4927,29509
sousek-intensional_states.pdf,4913,29666
hopkins-the_possibility_of_an_actual_infinite.pdf,4856,30447
gessel-the_hierarchy_of_empirical_defeasibility.pdf,4839,29834
mathys-emotional_problems_of_evolutionary_psychology.pdf,4832,30536
gillon-nietzsche_heraclitus_and_interpretation.pdf,4830,30458
metcalf-art_and_the_saving_power.pdf,4829,29238
pianka-colorful_nothing_emptiness_in_the_madyamaka.pdf,4770,28470
hoffart-novelty_ritual_and_redemption.pdf,4756,30983
science-and-rationality-for-one-and-all.pdf,4737,29707
christensen-on_being_a_self.pdf,4719,30258
kenny-socratic_knowledge_and_the_daimonion.pdf,4631,28135
andersen-the_philosophical_task_of_writing.pdf,4587,28060
minoski-a_kripkean_response_to_john_searle.pdf,4562,27236
ritch-the_possibility_of_a_christian_appropriation_of_aristotles_ethical_philosophy.pdf,4523,27895
dayley-by_godel_I_do_not_mean_schmidt.pdf,4500,26232
west-aquinas_on_intellect_will_and_faith.pdf,4454,26231
andersen-the_virtue_of_socratic_dialectic.pdf,4433,26710
lantigua-freedom_and_the_dialogical_self.pdf,4416,27471
hansen-platos_parmenides.pdf,4407,26739
rogers-exclusivism_in_hicks_pluralistic_hypothesis.pdf,4388,27899
lee-reductive_explanation_and_qualia.pdf,4362,26897
korfmacher-on_the_significance_of_genealogy_in_nietzsches_critique_of_morality.pdf,4344,28730
barbir-moores_paradox.pdf,4329,25657
andersen-heidegger_and_theology.pdf,4294,26714
Jedam-paradox_of_fiction.pdf,4284,26701
pugh-philosophy_and_ethics_in_descartes.pdf,4256,25954
tugushev-free_will_in_war_and_peace.pdf,4250,25813
persad-velleman_and_parfit.pdf,4212,25981
snow-the_necessity_of_moral_virtue.pdf,4206,26165
kalliney-a_defense_of_the_importance_of_emotions.pdf,4189,25718
mcphee-a_semantic_explanation_of_harmony_in_kants_aesthetics.pdf,4160,25761
west-self_referential_altruism.pdf,4152,25607
mitchell-chinese_room.pdf,4140,24916
hills-why_prefer_a_system_of_desires.pdf,4138,25174
macgregor-the_role_of_the_ego_in_religious_experience.pdf,4099,24444
lund-resolving_the_inconsistencies_in_aquinass_truth_theory.pdf,4074,24273
hendricks-the_realization_of_theory.pdf,4064,24284
macgregor-socrates_god_and_piety.pdf,4058,23295
ward-conscience_in_kantian_ethics.pdf,4015,23905
dahl-an_intuitive_axiomatic_development.pdf,4005,22512
lemke-against_dialectical_ethics.pdf,3982,25060
anderson-indispensability_and_naturalism.pdf,3976,27806
hills-vindicating_a_critique.pdf,3975,23760
cline-what_is_a_rule.pdf,3925,23424
faulconer-founding_an_environmental_ethic.pdf,3870,23529
facts-about-truthmaking-an-argument-for-truthmaker.pdf,3845,23358
hansen-parmenides.pdf,3809,23786
stannard-theism_atheism_dialogue.pdf,3808,24241
mohr-locke_and_the_contemporary_situation.pdf,3787,23676
fissell-thrasymachus_and_the_order_of_pleonexia.pdf,3724,23350
anderson-a_move_to_more_fruitful_ground.pdf,3720,24709
rhoades-can_the_emergent_self_reemerge.pdf,3695,23039
brownson-how_predictable_are_we.pdf,3668,23089
is-everything-revisable.pdf,3654,21391
dayley-democritus_parmenidean_influence.pdf,3584,22596
velchik-pascals_wager.pdf,3557,22428
dix-should_the_government_be_your_friend.pdf,3553,22186
knauff-abstract_objects.pdf,3526,20139
johnson-russell_and_strawson_on_significant_sentences.pdf,3510,21406
ernst-charles_hartshorne_and_the_ontological_argument.pdf,3491,21469
shurts-husserl_and_meaning.pdf,3470,21537
taylor-value_of_unrealized_possibilities.pdf,3424,20646
stewart-the_two_freedoms.pdf,3393,20659
spencer-plato_among_and_against_the_postmodernists.pdf,3367,22061
pike-reason_to_revolt.pdf,3343,20338
perrin-the_incoherence_of_william_james_moral_philosophy.pdf,3286,19277
hughes-the_role_of_happiness_in_kants_ethics.pdf,3213,19586
Kao-law_in_platform_society.pdf,3192,22077
snell-denying_objectivity_in_chistianity.pdf,3110,20457
butcher-the_subject_subject_relationship.pdf,3042,18139
wilson-the_pathological_liar.pdf,2999,18895
potter-the_subjective_universality.pdf,2894,17571
farr-how_queer.pdf,2889,17333
schwenkler-property_indexing_and_problems_of_identity.pdf,2882,16908
feuerlein-donnellans_distinction.pdf,2875,17093
wiest-cannot_my_beliefs.pdf,2835,16648
power-continuing_plantingas_critique.pdf,2799,17537
ernst-hempels_raven.pdf,2789,15861
mooneyham-a_proposed_counterexample_to_kleins_theory_of_knowledge.pdf,2776,16701
white-vagueness_in_strawson.pdf,2710,16445
seigal-the_ontological_parody.pdf,2586,15193
brough-misinterpretation_in_augustines_confessions.pdf,2527,16359
nielson-the_one_beside_the_many.pdf,2240,14184
taub-breaking_the_turing_test.pdf,1574,8956
